frame,cap_read,face_detect,landmark,preprocess,inference,postprocess,render,total_ms,ai_ms,ai_pct
104,1.8214,15.3462,4.9541,0.5710,0.1446,0.0899,1.5067,24.4339,5.7596,23.5722
106,1.8797,9.8676,5.5438,0.6412,0.2172,0.0912,1.3450,19.5857,6.4934,33.1538
108,2.6141,16.8455,5.2040,0.6412,0.1328,0.0855,1.8492,27.3723,6.0635,22.1520
110,2.2261,14.0283,5.8029,0.5630,0.2423,0.0920,1.4455,24.4001,6.7002,27.4597
112,1.7061,12.6267,4.2872,0.0099,0.0007,0.0007,1.4453,20.0766,4.2985,21.4105
114,1.7799,10.2005,3.5317,0.0032,0.0006,0.0011,1.3521,16.8691,3.5366,20.9650
116,2.3794,12.9834,7.7789,0.4863,0.1128,0.0640,1.2919,25.0967,8.4420,33.6379
118,2.6019,9.8513,7.6162,0.5584,0.1531,0.0896,1.5828,22.4533,8.4173,37.4880
120,2.1735,18.8564,4.9764,0.6079,0.1338,0.0827,1.7714,28.6021,5.8008,20.2810
122,1.8840,11.0081,4.8207,0.0091,0.0006,0.0011,1.4878,19.2114,4.8315,25.1491
124,1.8405,12.6294,8.4032,0.5645,0.2181,0.0905,1.4977,25.2439,9.2763,36.7467
126,2.0208,9.6640,5.3241,0.5872,0.1388,0.0899,1.3577,19.1825,6.1400,32.0083
128,2.5770,13.2237,5.2648,0.5787,0.1386,0.0927,1.4878,23.3633,6.0748,26.0015
130,2.3413,12.0582,5.5217,0.6376,0.1885,0.0916,1.4224,22.2613,6.4394,28.9264
132,1.9747,11.8845,4.4460,0.0085,0.0010,0.0011,1.5025,19.8183,4.4566,22.4873
134,1.7842,12.3197,7.8510,0.5773,0.1522,0.0917,1.0097,23.7858,8.6722,36.4596
136,2.4269,11.2793,5.1443,0.5803,0.1424,0.0904,1.0321,20.6957,5.9574,28.7857
138,1.9946,14.7036,5.2651,0.7418,0.1405,0.0922,0.9856,23.9234,6.2396,26.0816
140,2.3503,10.8585,5.6678,0.5838,0.1843,0.0918,1.0093,20.7458,6.5277,31.4652
142,2.7583,15.4295,4.9243,0.7533,0.1320,0.0861,1.5267,25.6102,5.8957,23.0209
144,1.8705,9.5191,5.1156,0.7736,0.2326,0.1019,1.3683,18.9816,6.2237,32.7881
146,1.4109,17.6391,5.5771,0.5804,0.1502,0.0916,2.2511,27.7004,6.3993,23.1018
148,1.8478,12.4365,5.3164,0.5712,0.2016,0.0921,1.8271,22.2927,6.1813,27.7279
150,1.9541,11.4997,5.1440,0.5979,0.1388,0.0911,1.4158,20.8414,5.9718,28.6535
152,1.8096,19.3467,4.9250,0.6282,0.1544,0.0929,1.8954,28.8522,5.8005,20.1042
154,1.8897,11.8096,7.3459,0.5954,0.2399,0.0912,1.4146,23.3863,8.2724,35.3728
156,1.7209,11.0714,5.2731,0.4948,0.1495,0.0880,1.4751,20.2728,6.0054,29.6229
158,2.7176,12.7793,5.0938,0.6463,0.1679,0.0975,1.4132,22.9156,6.0055,26.2070
160,1.7582,18.7147,4.9878,0.6418,0.1387,0.0900,1.4392,27.7704,5.8583,21.0955
162,1.9385,13.4847,4.9508,0.5799,0.1377,0.0885,1.4714,22.6515,5.7569,25.4151
164,2.0826,11.3308,5.2418,0.5527,0.1320,0.0829,1.4100,20.8328,6.0094,28.8459
166,5.0936,17.2477,5.3764,0.5701,0.1393,0.0946,1.5429,30.0646,6.1804,20.5571
168,1.9585,12.1876,4.9756,0.6375,0.2384,0.0920,1.4433,21.5329,5.9435,27.6019
170,1.8489,11.8846,5.3307,0.6480,0.1415,0.0906,1.3981,21.3424,6.2108,29.1008
172,2.5619,34.3585,14.7334,0.6645,0.2430,0.0954,1.3828,54.0395,15.7363,29.1200
174,1.6243,18.0131,5.4776,0.5642,0.1502,0.0913,1.6144,27.5351,6.2833,22.8192
176,1.8064,13.2860,5.2105,0.7098,0.3004,0.1216,1.4803,22.9150,6.3423,27.6775
178,1.9966,12.1038,5.4223,0.5587,0.1365,0.0891,1.3862,21.6932,6.2066,28.6108
180,1.7846,12.6964,5.0088,0.6119,0.1380,0.0917,2.0310,22.3624,5.8504,26.1618
182,2.7318,17.2422,5.5230,0.5610,0.1822,0.0884,1.3955,27.7241,6.3546,22.9209
184,1.7568,12.6713,5.0749,0.5833,0.1465,0.0904,1.4629,21.7861,5.8951,27.0590
186,1.5619,12.4279,6.1646,0.5935,0.2277,0.0939,0.9929,22.0624,7.0797,32.0894
188,1.9954,14.4573,6.5836,0.6581,0.1670,0.1051,1.6454,25.6119,7.5138,29.3371
190,2.2330,15.1581,5.8367,0.7365,0.2397,0.1127,1.1318,25.4485,6.9256,27.2142
192,2.2229,17.7264,7.7443,0.5277,0.1320,0.0844,0.9381,29.3758,8.4884,28.8959
194,2.1823,13.5974,4.9266,0.6378,0.2019,0.0931,0.9699,22.6090,5.8594,25.9162
196,2.2101,14.5014,5.1024,0.7516,0.1385,0.0893,0.9578,23.7511,6.0818,25.6064
198,2.1700,13.0338,5.3107,0.6364,0.1532,0.0976,0.9925,22.3942,6.1979,27.6764
200,1.9217,12.8235,5.0347,0.6264,0.1686,0.0919,0.9985,21.6653,5.9216,27.3322
202,2.2957,14.4352,5.8914,0.5666,0.1373,0.0909,0.7126,24.1297,6.6862,27.7094
204,1.7363,16.2843,6.3275,0.6129,0.1428,0.0907,1.7124,26.9069,7.1739,26.6619
206,2.2754,14.9524,5.6164,0.6030,0.2054,0.0895,1.1325,24.8746,6.5143,26.1886
208,2.1919,13.4637,4.8817,0.5218,0.1316,0.0840,1.0306,22.3053,5.6191,25.1918
210,2.5432,10.6015,5.5286,0.6392,0.1363,0.0907,1.0760,20.6155,6.3948,31.0194
212,1.8617,12.2210,6.2667,0.5876,0.1420,0.0916,1.0686,22.2392,7.0879,31.8712
214,1.4863,12.3884,4.7729,0.5560,0.1354,0.0910,1.0163,20.4463,5.5553,27.1702
216,2.4813,18.3502,5.3587,0.5997,0.1736,0.1106,1.2806,28.3547,6.2426,22.0161
218,2.3310,18.0693,5.0444,0.5631,0.1371,0.0881,1.0476,27.2806,5.8327,21.3804
220,2.4491,12.7203,5.3429,0.7685,0.1329,0.0834,1.0174,22.5145,6.3277,28.1050
222,7.2829,18.3076,8.5777,0.5875,0.2285,0.0923,1.1385,36.2150,9.4860,26.1936
224,1.6065,14.0962,5.5370,0.5841,0.1392,0.0878,1.2266,23.2774,6.3481,27.2715
226,1.5873,11.7023,8.0902,0.5781,0.1362,0.0906,1.1681,23.3528,8.8951,38.0901
228,2.5184,13.3134,6.3280,0.5918,0.1413,0.0923,1.0248,24.0100,7.1534,29.7934
230,2.3384,10.9328,5.1600,0.5995,0.1376,0.0921,1.2727,20.5331,5.9892,29.1685
232,2.0997,12.5885,5.4239,0.5614,0.1351,0.0908,1.0025,21.9019,6.2112,28.3592
234,1.9676,11.9963,5.5847,0.5761,0.1408,0.0893,1.0270,21.3818,6.3909,29.8894
236,2.0141,26.2764,7.1746,0.5864,0.2382,0.0892,1.5561,37.9350,8.0884,21.3217
238,2.3689,18.5999,5.2998,0.5485,0.1354,0.0882,0.9592,27.9999,6.0719,21.6854
240,2.3584,14.0005,5.2659,0.6068,0.1409,0.0903,1.0530,23.5158,6.1039,25.9566
242,1.7193,12.5940,5.3690,0.5602,0.1382,0.0905,0.9715,21.4427,6.1579,28.7179
244,1.8361,14.1312,5.6683,0.6039,0.2337,0.0919,1.0356,23.6007,6.5978,27.9560
246,2.1238,13.4111,5.3610,0.5167,0.1323,0.0870,0.9831,22.6150,6.0970,26.9600
248,1.6604,17.8653,5.4378,0.5910,0.1400,0.0922,1.0658,26.8525,6.2610,23.3163
250,2.5425,12.1909,5.1958,0.6907,0.1426,0.0904,1.0025,21.8554,6.1195,27.9999
252,1.5516,19.5167,5.0300,0.6271,0.1405,0.0960,1.1624,28.1243,5.8936,20.9555
254,2.1513,12.4894,5.4976,0.5865,0.1530,0.1089,2.2166,23.2033,6.3460,27.3496
256,2.2189,11.8702,5.1526,0.4600,0.1075,0.0633,0.7417,20.6142,5.7834,28.0554
258,2.3319,11.6347,5.6575,0.5892,0.1432,0.0930,1.0033,21.4528,6.4829,30.2194
260,2.8975,14.6860,4.6886,0.6126,0.1473,0.1456,1.0165,24.1941,5.5941,23.1218
262,1.7887,10.8063,5.0545,0.5910,0.2891,0.1152,1.0316,19.6764,6.0498,30.7465
264,5.1105,32.0443,6.3657,0.8530,0.3812,0.1172,2.6231,47.4950,7.7171,16.2482
266,1.5403,14.0596,6.2309,0.0107,0.0008,0.0007,1.1581,23.0011,6.2431,27.1426
268,2.0163,13.0178,3.6142,0.0029,0.0007,0.0007,1.2378,19.8904,3.6185,18.1922
270,1.9365,11.8734,4.3578,0.0033,0.0007,0.0009,1.0304,19.2030,4.3627,22.7188
272,1.7555,11.9468,3.9737,0.0032,0.0007,0.0009,1.2306,18.9114,3.9785,21.0376
274,2.1552,12.3175,4.0972,0.0028,0.0006,0.0010,1.2262,19.8005,4.1016,20.7146
276,2.1669,10.3320,3.4827,0.0028,0.0006,0.0005,1.5386,17.5241,3.4866,19.8960
278,2.1595,12.6549,3.6516,0.0029,0.0007,0.0005,1.3998,19.8699,3.6557,18.3982
280,1.8746,12.4304,3.6833,0.0020,0.0174,0.0008,1.5829,19.5914,3.7035,18.9037
282,2.4359,12.8120,10.5765,0.6574,0.1609,0.1046,1.4925,28.2398,11.4994,40.7205
284,2.3979,19.8473,5.1549,0.0097,0.0007,0.0007,1.7722,29.1834,5.1660,17.7018
286,2.5890,14.7802,7.0957,0.0031,0.0007,0.0007,1.5998,26.0692,7.1002,27.2360
288,2.5169,13.0365,7.9849,0.4405,0.0009,0.0008,3.0333,27.0138,8.4271,31.1955
290,1.9320,21.1329,4.8499,0.5053,0.0010,0.0009,1.5219,29.9439,5.3571,17.8905
292,2.6167,15.6745,5.6700,0.0034,0.0012,0.0012,1.4536,25.4206,5.6758,22.3276
294,1.8409,14.0663,7.9318,0.4268,0.0010,0.0008,1.3989,25.6665,8.3604,32.5732
296,1.8922,12.5523,5.5593,0.5846,0.1393,0.1430,1.7648,22.6355,6.4262,28.3899
298,2.3373,20.8167,5.0099,0.0144,0.0016,0.0014,1.6236,29.8049,5.0273,16.8674
300,2.5587,15.9221,9.1580,0.5434,0.0014,0.0017,2.4281,30.6134,9.7045,31.7002
302,1.9142,10.1341,4.6725,0.0041,0.0009,0.0010,1.7529,18.4797,4.6785,25.3170
304,1.9712,10.9744,3.3862,0.0018,0.0005,0.0006,1.0942,17.4289,3.3891,19.4453
306,2.4501,13.3772,7.8690,0.3213,0.0005,0.0006,1.0781,25.0968,8.1914,32.6392
308,1.7401,14.6052,4.6272,0.0020,0.0009,0.0008,1.4723,22.4485,4.6309,20.6290
310,2.1127,11.8784,3.5123,0.0027,0.0008,0.0009,1.9666,19.4744,3.5167,18.0581
312,1.7428,13.0295,4.0740,0.0033,0.0005,0.0009,1.5384,20.3894,4.0787,20.0040
314,2.1642,21.1558,9.0776,0.5761,0.0012,0.0016,1.6783,34.6548,9.6565,27.8648
316,3.0719,17.0948,4.5181,0.0032,0.0008,0.0008,1.4013,26.0909,4.5229,17.3352
318,2.3542,15.5565,8.6717,0.0029,0.0008,0.0007,1.6563,28.2431,8.6761,30.7194
320,2.0954,12.4444,7.6046,0.6278,0.1405,0.0831,1.6686,24.6644,8.4560,34.2842
322,2.7180,22.3191,11.4958,0.0144,0.0011,0.0012,2.8120,39.3616,11.5125,29.2480
324,2.6903,19.0502,5.3071,0.0025,0.0009,0.0010,1.5547,28.6067,5.3115,18.5673
326,1.9287,13.3916,3.0559,0.0024,0.0006,0.0006,1.3903,19.7701,3.0595,15.4754
328,1.9890,12.7491,3.7688,0.0025,0.0009,0.0008,1.4442,19.9553,3.7730,18.9073
330,1.7827,10.4526,3.3835,0.0023,0.0007,0.0008,1.4611,17.0837,3.3873,19.8277
332,2.0541,21.6175,3.8729,0.0030,0.0011,0.0010,1.5588,29.1084,3.8780,13.3226
334,1.7064,13.3152,8.8696,0.5897,0.1404,0.0931,1.3431,26.0575,9.6928,37.1977
336,1.8983,14.3658,4.9722,0.0101,0.0007,0.0007,1.4499,22.6977,4.9837,21.9569
338,2.4911,12.2710,8.5872,0.4790,0.0011,0.0015,1.5583,25.3892,9.0688,35.7191
340,1.8569,21.2883,5.1759,0.0030,0.0007,0.0008,1.4810,29.8066,5.1804,17.3800
342,1.8287,17.0284,3.2904,0.0030,0.0007,0.0007,1.8333,23.9852,3.2948,13.7368
344,2.5031,12.0030,3.8753,0.0049,0.0008,0.0011,2.4894,20.8776,3.8821,18.5946
346,1.8733,10.8553,3.6312,0.0026,0.0008,0.0009,0.9763,17.3404,3.6355,20.9655
348,1.7239,12.3064,3.5648,0.0027,0.0007,0.0007,0.9838,18.5830,3.5689,19.2052
350,2.2708,12.8233,3.4790,0.0020,0.0006,0.0006,2.1746,20.7509,3.4822,16.7810
352,2.6163,13.6759,3.6132,0.0025,0.0007,0.0006,1.0542,20.9634,3.6170,17.2539
354,1.8334,11.8915,9.3822,0.4609,0.1077,0.0641,0.7520,24.4918,10.0149,40.8908
356,2.5682,12.2361,4.7586,0.0085,0.0007,0.0007,1.3231,20.8959,4.7685,22.8203
358,1.8815,11.9519,3.5529,0.0026,0.0006,0.0008,1.7102,19.1005,3.5569,18.6220
360,2.1990,12.2331,3.4777,0.0029,0.0009,0.0010,1.0596,18.9742,3.4825,18.3539
362,1.5237,12.0611,3.6373,0.0020,0.0005,0.0007,0.9550,18.1803,3.6405,20.0244
364,1.7930,19.8420,3.9949,0.0030,0.0006,0.0008,0.9828,26.6171,3.9993,15.0253
366,3.1484,14.4798,4.3569,0.0028,0.0008,0.0008,1.0051,22.9946,4.3613,18.9666
368,2.6121,13.5490,3.5120,0.0032,0.0008,0.0007,0.9859,20.6637,3.5167,17.0187
370,1.8915,16.8904,3.6599,0.0028,0.0006,0.0009,1.0345,23.4806,3.6642,15.6052
372,1.6045,11.8323,3.8286,0.0027,0.0008,0.0008,1.0775,18.3472,3.8329,20.8909
374,2.4148,11.1217,3.6348,0.0029,0.0009,0.0008,1.0150,18.1909,3.6394,20.0067
376,2.1838,12.4890,3.7112,0.0025,0.0006,0.0008,1.0409,19.4288,3.7151,19.1216
378,2.5158,11.7743,3.7441,0.0026,0.0007,0.0006,1.8407,19.8788,3.7480,18.8543
380,2.2423,18.6953,3.5299,0.0032,0.0008,0.0008,1.4728,25.9451,3.5347,13.6238
382,2.7596,17.4994,3.7578,0.0035,0.0007,0.0009,1.3857,25.4076,3.7629,14.8101
384,1.9610,13.7040,3.3998,0.0036,0.0008,0.0006,1.6182,20.6880,3.4048,16.4578
386,1.9337,21.2352,4.0001,0.0029,0.0007,0.0008,1.5772,28.7506,4.0045,13.9284
388,2.4193,13.9990,3.6238,0.0027,0.0008,0.0010,1.5171,21.5637,3.6283,16.8260
390,2.4568,12.1839,3.4334,0.0027,0.0007,0.0011,1.5483,19.6269,3.4379,17.5163
392,1.9499,18.8417,3.4487,0.0028,0.0006,0.0009,1.5185,25.7631,3.4530,13.4029
394,1.6869,12.6946,3.9786,0.0030,0.0006,0.0009,1.5022,19.8668,3.9831,20.0490
396,1.9080,12.5820,4.3639,0.0033,0.0006,0.0008,1.6069,20.4655,4.3686,21.3462
398,2.3892,13.1029,3.9134,0.0023,0.0008,0.0009,1.6356,21.0451,3.9174,18.6143
400,1.9329,10.9719,3.8377,0.0025,0.0007,0.0008,1.4110,18.1575,3.8417,21.1576
402,2.3595,13.3272,3.4910,0.0033,0.0007,0.0009,1.5405,20.7231,3.4959,16.8696
404,1.9043,13.0544,4.7587,0.0037,0.0009,0.0008,2.0096,21.7324,4.7641,21.9216
406,4.3331,12.3157,3.5033,0.0026,0.0007,0.0008,1.7294,21.8856,3.5074,16.0261
408,2.2383,10.5072,3.4813,0.0024,0.0005,0.0007,1.3889,17.6193,3.4849,19.7789
410,2.0835,13.4436,3.2880,0.0027,0.0009,0.0012,1.5879,20.4078,3.2928,16.1350
412,1.6308,11.6023,4.2300,0.0022,0.0008,0.0008,1.4393,18.9062,4.2338,22.3937
414,2.5864,16.0084,3.5109,0.0032,0.0008,0.0009,1.6527,23.7633,3.5158,14.7951
416,1.9720,12.7920,3.5500,0.0028,0.0007,0.0008,1.7901,20.1084,3.5543,17.6757
418,1.8105,13.4020,4.8489,0.0046,0.0011,0.0014,1.9762,22.0447,4.8560,22.0280
420,2.2628,13.5089,3.8169,0.0032,0.0007,0.0008,1.5251,21.1184,3.8216,18.0961
422,2.1602,12.4181,3.5120,0.0026,0.0007,0.0007,1.6500,19.7443,3.5160,17.8077
424,2.2601,15.8365,3.7423,0.0025,0.0006,0.0008,1.6742,23.5170,3.7462,15.9298
426,1.8106,10.5396,3.6865,0.0037,0.0006,0.0008,1.6362,17.6780,3.6916,20.8825
428,1.7280,13.6077,4.0799,0.0030,0.0007,0.0008,1.8100,21.2301,4.0844,19.2387
430,2.0996,10.7172,3.5566,0.0024,0.0006,0.0006,1.6652,18.0422,3.5602,19.7326
432,2.2927,11.2453,3.7652,0.0034,0.0008,0.0008,1.8027,19.1109,3.7702,19.7280
434,2.0852,14.8851,3.6380,0.0031,0.0008,0.0009,1.7240,22.3371,3.6428,16.3083
436,1.7683,14.3965,4.1403,0.0026,0.0009,0.0009,1.6750,21.9845,4.1447,18.8528
438,2.1977,16.7148,3.9513,0.0031,0.0007,0.0009,1.7863,24.6548,3.9560,16.0456
440,2.1132,12.6134,3.5581,0.0027,0.0007,0.0006,1.4894,19.7781,3.5621,18.0103
442,1.9506,20.9726,3.4218,0.0023,0.0004,0.0007,1.6119,27.9603,3.4252,12.2502
444,2.3899,12.5204,3.8326,0.0030,0.0007,0.0009,1.6119,20.3594,3.8372,18.8473
446,2.8451,13.1234,3.5168,0.0025,0.0007,0.0008,1.5786,21.0679,3.5208,16.7117
448,2.3936,12.2808,4.2400,0.0034,0.0007,0.0009,1.5312,20.4506,4.2450,20.7573
450,3.4631,17.4505,4.1436,0.0025,0.0007,0.0008,2.0974,27.1586,4.1476,15.2718
452,2.5646,15.2508,4.9961,0.0039,0.0013,0.0011,2.6229,25.4407,5.0024,19.6630
454,1.7976,12.0853,4.2418,0.0030,0.0007,0.0008,1.3934,19.5226,4.2463,21.7507
456,1.7119,12.1509,3.6186,0.0031,0.0010,0.0005,1.5360,19.0220,3.6232,19.0474
458,2.5111,21.6284,3.4321,0.0027,0.0008,0.0009,1.9225,29.4985,3.4365,11.6497
460,1.8505,11.6878,5.7323,0.0032,0.0011,0.0008,1.7889,21.0646,5.7374,27.2372
462,1.8676,12.7469,3.6716,0.0026,0.0010,0.0008,1.5862,19.8767,3.6760,18.4940
464,2.7153,18.6665,3.6105,0.0024,0.0008,0.0007,2.3880,27.3842,3.6144,13.1989
466,1.8224,20.6087,3.4715,0.0026,0.0009,0.0007,1.5153,27.4221,3.4757,12.6748
468,2.3968,13.6989,3.9519,0.0033,0.0009,0.0006,2.0020,22.0544,3.9567,17.9406
470,1.8359,11.6440,3.6846,0.0030,0.0009,0.0010,1.4536,18.6230,3.6895,19.8115
472,2.0995,12.8105,3.9605,0.0033,0.0008,0.0005,1.6656,20.5407,3.9651,19.3036
474,1.8388,12.6846,4.1331,0.0028,0.0009,0.0010,1.6393,20.3005,4.1378,20.3827
476,2.0081,11.4488,4.1727,0.0059,0.0009,0.0010,1.6283,19.2657,4.1805,21.6992
478,2.0744,12.6991,3.3511,0.0026,0.0008,0.0009,1.2745,19.4034,3.3554,17.2928
480,2.7526,12.9849,3.4621,0.0020,0.0008,0.0006,1.5005,20.7035,3.4655,16.7387
482,1.8693,10.9845,3.8841,0.0080,0.0009,0.0013,1.9926,18.7407,3.8943,20.7799
484,2.4739,10.2667,3.5418,0.0027,0.0007,0.0007,1.6561,17.9426,3.5459,19.7625
486,2.2666,11.9640,3.4955,0.0023,0.0005,0.0007,1.1569,18.8865,3.4990,18.5265
488,1.7524,19.8852,3.4072,0.0027,0.0008,0.0007,1.8503,26.8993,3.4114,12.6821
490,1.8374,13.8323,3.9256,0.0025,0.0008,0.0006,1.5808,21.1800,3.9295,18.5529
492,2.0157,11.4389,3.6103,0.0032,0.0007,0.0010,1.5594,18.6292,3.6152,19.4061
494,1.9753,26.4442,3.9480,0.0037,0.0019,0.0016,1.6604,34.0351,3.9552,11.6209
496,2.2390,14.0886,3.6464,0.0037,0.0010,0.0009,1.4666,21.4462,3.6520,17.0287
498,1.7578,16.1266,3.5106,0.0025,0.0008,0.0009,1.5615,22.9607,3.5148,15.3079
500,2.5620,12.7847,3.6564,0.0025,0.0009,0.0007,2.0043,21.0115,3.6605,17.4214
502,2.3304,12.9994,3.5448,0.0025,0.0007,0.0009,1.3687,20.2474,3.5489,17.5277
504,2.7536,12.6957,3.5892,0.0025,0.0009,0.0007,1.5480,20.5906,3.5933,17.4512
506,2.3589,10.2466,3.4886,0.0020,0.0009,0.0009,1.5007,17.5986,3.4924,19.8448
508,1.7560,19.9052,3.6053,0.0033,0.0009,0.0008,1.8812,27.1527,3.6103,13.2963
510,1.8517,13.9899,3.4306,0.0025,0.0009,0.0011,1.5892,20.8659,3.4351,16.4627
512,3.1121,12.0655,3.6766,0.0025,0.0009,0.0008,1.3882,20.2466,3.6808,18.1798
514,1.8444,21.6888,3.5163,0.0025,0.0007,0.0008,1.7603,28.8138,3.5203,12.2174
516,2.4675,12.2878,3.3886,0.0023,0.0006,0.0005,1.3482,19.4955,3.3920,17.3989
518,2.2024,13.2499,4.6035,0.0031,0.0007,0.0007,2.3674,22.4277,4.6080,20.5460
520,1.9465,19.9074,6.6334,0.0037,0.0009,0.0009,2.6632,31.1560,6.6389,21.3086
522,1.7677,14.1294,3.6007,0.0035,0.0007,0.0007,1.4208,20.9235,3.6056,17.2323
524,2.9696,14.5897,4.0823,0.0029,0.0005,0.0008,2.1454,23.7912,4.0865,17.1765
526,1.7784,10.5245,3.8505,0.0031,0.0007,0.0010,1.8069,17.9651,3.8553,21.4599
528,1.9751,11.6346,3.3756,0.0023,0.0009,0.0008,1.3390,18.3283,3.3796,18.4392
530,2.2626,13.8400,3.4155,0.0020,0.0008,0.0008,1.4382,20.9599,3.4191,16.3126
532,2.8309,9.4632,3.4335,0.0023,0.0008,0.0008,1.3986,17.1301,3.4374,20.0664
