// Scales: drowsiness_asic/quant_conv1/Conv2D;drowsiness_asic/quant_conv1/LastValueQuant/FakeQuantWithMinMaxVarsPerChannel
// real_value = scale[ch] * int8_value  (zero_point=0 untuk weight)

// ch,  scale_f32,             scale_Q8.24
   0,  0.023623339832,  00060C2E  // zp=0
   1,  0.009343139827,  00026450  // zp=0
   2,  0.020529123023,  00054166  // zp=0
   3,  0.031752925366,  000820F6  // zp=0
   4,  0.022878080606,  0005DB56  // zp=0
   5,  0.026525717229,  0006CA64  // zp=0
   6,  0.033115677536,  00087A45  // zp=0
   7,  0.019814772531,  00051295  // zp=0
   8,  0.012156864628,  00031CB6  // zp=0
   9,  0.022816257551,  0005D749  // zp=0
  10,  0.026568295434,  0006CD2E  // zp=0
  11,  0.043993294239,  000B4325  // zp=0
  12,  0.010728594847,  0002BF1C  // zp=0
  13,  0.026140097529,  0006B11E  // zp=0
  14,  0.016815122217,  00044DFF  // zp=0
  15,  0.038068655878,  0009BEDE  // zp=0
  16,  0.034043736756,  0008B717  // zp=0
  17,  0.028141064569,  00073441  // zp=0
  18,  0.017807045951,  00048F01  // zp=0
  19,  0.029073065147,  00077155  // zp=0
  20,  0.040296651423,  000A50E2  // zp=0
  21,  0.034912854433,  0008F00C  // zp=0
  22,  0.016304042190,  00042C80  // zp=0
  23,  0.018807210028,  0004D08D  // zp=0
  24,  0.036553226411,  00095B8D  // zp=0
  25,  0.029339011759,  000782C3  // zp=0
  26,  0.029759125784,  00079E4B  // zp=0
  27,  0.035032283515,  0008F7E0  // zp=0
  28,  0.027791419998,  00071D57  // zp=0
  29,  0.027517125010,  00070B5D  // zp=0
  30,  0.026942413300,  0006E5B3  // zp=0
  31,  0.025235449895,  000675D5  // zp=0
