// Bias: tfl.pseudo_qconst1
// Shape: [128], int32

// idx,  decimal,       hex_32bit
    0,         17055,  0000429F
    1,        -10075,  FFFFD8A5
    2,         10997,  00002AF5
    3,        -14048,  FFFFC920
    4,        -28014,  FFFF9292
    5,        -34224,  FFFF7A50
    6,        -65823,  FFFEFEE1
    7,         83678,  000146DE
    8,        -74761,  FFFEDBF7
    9,         47081,  0000B7E9
   10,         -3064,  FFFFF408
   11,          5061,  000013C5
   12,         29962,  0000750A
   13,         41935,  0000A3CF
   14,        -12619,  FFFFCEB5
   15,         24756,  000060B4
   16,          -501,  FFFFFE0B
   17,         53490,  0000D0F2
   18,           714,  000002CA
   19,        -17983,  FFFFB9C1
   20,         -9950,  FFFFD922
   21,         47711,  0000BA5F
   22,         69391,  00010F0F
   23,         12368,  00003050
   24,         48369,  0000BCF1
   25,         58798,  0000E5AE
   26,         37756,  0000937C
   27,         13109,  00003335
   28,          3072,  00000C00
   29,        -33531,  FFFF7D05
   30,         59748,  0000E964
   31,        -40685,  FFFF6113
   32,         -6921,  FFFFE4F7
   33,         18225,  00004731
   34,        -64550,  FFFF03DA
   35,         49394,  0000C0F2
   36,         37435,  0000923B
   37,           679,  000002A7
   38,         64726,  0000FCD6
   39,         -1565,  FFFFF9E3
   40,        -24293,  FFFFA11B
   41,         -9014,  FFFFDCCA
   42,        -89216,  FFFEA380
   43,         -6609,  FFFFE62F
   44,          5239,  00001477
   45,         48782,  0000BE8E
   46,          5882,  000016FA
   47,        -11775,  FFFFD201
   48,         30568,  00007768
   49,        -16505,  FFFFBF87
   50,        -18990,  FFFFB5D2
   51,          1541,  00000605
   52,           469,  000001D5
   53,         27712,  00006C40
   54,          4190,  0000105E
   55,          4708,  00001264
   56,        -38148,  FFFF6AFC
   57,        -34511,  FFFF7931
   58,        -11483,  FFFFD325
   59,         70784,  00011480
   60,        -15202,  FFFFC49E
   61,         68459,  00010B6B
   62,          1250,  000004E2
   63,        -41958,  FFFF5C1A
   64,         -9876,  FFFFD96C
   65,          2571,  00000A0B
   66,          8632,  000021B8
   67,         63239,  0000F707
   68,         13992,  000036A8
   69,         56836,  0000DE04
   70,         -8813,  FFFFDD93
   71,        -27547,  FFFF9465
   72,         26385,  00006711
   73,        -27398,  FFFF94FA
   74,         -9969,  FFFFD90F
   75,         54389,  0000D475
   76,         33902,  0000846E
   77,         10421,  000028B5
   78,        -17866,  FFFFBA36
   79,         45471,  0000B19F
   80,        -12701,  FFFFCE63
   81,         -2357,  FFFFF6CB
   82,         19825,  00004D71
   83,         13017,  000032D9
   84,         25815,  000064D7
   85,          7837,  00001E9D
   86,           315,  0000013B
   87,        -33959,  FFFF7B59
   88,        -46978,  FFFF487E
   89,         73642,  00011FAA
   90,         -7883,  FFFFE135
   91,         20456,  00004FE8
   92,          8563,  00002173
   93,         46355,  0000B513
   94,         23266,  00005AE2
   95,         21984,  000055E0
   96,         -1034,  FFFFFBF6
   97,         60170,  0000EB0A
   98,         12770,  000031E2
   99,          4495,  0000118F
  100,         -4584,  FFFFEE18
  101,         39229,  0000993D
  102,         38269,  0000957D
  103,         15094,  00003AF6
  104,         10907,  00002A9B
  105,         -7132,  FFFFE424
  106,         -2578,  FFFFF5EE
  107,        -44714,  FFFF5156
  108,         24427,  00005F6B
  109,         15087,  00003AEF
  110,         23761,  00005CD1
  111,        -61949,  FFFF0E03
  112,         -5003,  FFFFEC75
  113,         44585,  0000AE29
  114,         41737,  0000A309
  115,         40472,  00009E18
  116,        -12449,  FFFFCF5F
  117,         50048,  0000C380
  118,         46251,  0000B4AB
  119,         42336,  0000A560
  120,        -52858,  FFFF3186
  121,          7115,  00001BCB
  122,         52777,  0000CE29
  123,         20123,  00004E9B
  124,         42197,  0000A4D5
  125,        -53202,  FFFF302E
  126,        -19260,  FFFFB4C4
  127,        -27249,  FFFF958F
