// Scales: drowsiness_asic/quant_conv4/Conv2D;drowsiness_asic/quant_conv4/LastValueQuant/FakeQuantWithMinMaxVarsPerChannel
// real_value = scale[ch] * int8_value  (zero_point=0 untuk weight)

// ch,  scale_f32,             scale_Q8.24
   0,  0.000744962483,  000030D2  // zp=0
   1,  0.000834508857,  000036B1  // zp=0
   2,  0.000861163309,  00003870  // zp=0
   3,  0.000407822139,  00001ABA  // zp=0
   4,  0.000809760299,  00003512  // zp=0
   5,  0.000969265820,  00003F86  // zp=0
   6,  0.000694671879,  00002D87  // zp=0
   7,  0.000649972528,  00002A99  // zp=0
   8,  0.000826169096,  00003625  // zp=0
   9,  0.000825347961,  00003617  // zp=0
  10,  0.000508478959,  00002153  // zp=0
  11,  0.000713434711,  00002EC1  // zp=0
  12,  0.000570776989,  00002568  // zp=0
  13,  0.000866256072,  000038C5  // zp=0
  14,  0.000820031157,  000035BE  // zp=0
  15,  0.000870484277,  0000390C  // zp=0
  16,  0.000594334560,  000026F3  // zp=0
  17,  0.000824910298,  00003610  // zp=0
  18,  0.000796429231,  00003432  // zp=0
  19,  0.000827812997,  00003640  // zp=0
  20,  0.000426053593,  00001BEC  // zp=0
  21,  0.000925250992,  00003CA3  // zp=0
  22,  0.000607322494,  000027CD  // zp=0
  23,  0.000845010451,  00003761  // zp=0
  24,  0.000557016814,  00002481  // zp=0
  25,  0.000755295740,  00003180  // zp=0
  26,  0.000587892660,  00002687  // zp=0
  27,  0.000643768348,  00002A31  // zp=0
  28,  0.000770730781,  00003283  // zp=0
  29,  0.000733230787,  0000300E  // zp=0
  30,  0.000825693947,  0000361D  // zp=0
  31,  0.000868059520,  000038E4  // zp=0
  32,  0.000808812096,  00003502  // zp=0
  33,  0.000428341416,  00001C12  // zp=0
  34,  0.000890607189,  00003A5E  // zp=0
  35,  0.001009428292,  00004227  // zp=0
  36,  0.001091970364,  00004790  // zp=0
  37,  0.000949332432,  00003E37  // zp=0
  38,  0.000605349196,  000027AC  // zp=0
  39,  0.000848283758,  00003798  // zp=0
  40,  0.000724689162,  00002F7E  // zp=0
  41,  0.000524844567,  00002265  // zp=0
  42,  0.000714748341,  00002ED7  // zp=0
  43,  0.000640472921,  000029F9  // zp=0
  44,  0.000824833231,  0000360E  // zp=0
  45,  0.000701839919,  00002DFF  // zp=0
  46,  0.000962893420,  00003F1B  // zp=0
  47,  0.000903624285,  00003B38  // zp=0
  48,  0.000852692814,  000037E2  // zp=0
  49,  0.000710950233,  00002E98  // zp=0
  50,  0.000427003280,  00001BFC  // zp=0
  51,  0.000748287130,  0000310A  // zp=0
  52,  0.000809973222,  00003515  // zp=0
  53,  0.000690707355,  00002D44  // zp=0
  54,  0.000587314949,  0000267E  // zp=0
  55,  0.000871012104,  00003915  // zp=0
  56,  0.000731602369,  00002FF2  // zp=0
  57,  0.000759304734,  000031C3  // zp=0
  58,  0.000918709789,  00003C35  // zp=0
  59,  0.000617474841,  00002878  // zp=0
  60,  0.000533383514,  000022F5  // zp=0
  61,  0.000669000670,  00002BD8  // zp=0
  62,  0.000700467324,  00002DE8  // zp=0
  63,  0.000697191746,  00002DB1  // zp=0
  64,  0.000582474808,  0000262C  // zp=0
  65,  0.000933703152,  00003D31  // zp=0
  66,  0.000814342231,  0000355E  // zp=0
  67,  0.000840942899,  0000371D  // zp=0
  68,  0.000880400301,  000039B3  // zp=0
  69,  0.000838199572,  000036EF  // zp=0
  70,  0.000892495445,  00003A7E  // zp=0
  71,  0.000645103224,  00002A47  // zp=0
  72,  0.000838821172,  000036F9  // zp=0
  73,  0.000705201121,  00002E37  // zp=0
  74,  0.000412046036,  00001B01  // zp=0
  75,  0.001109956182,  000048BE  // zp=0
  76,  0.000902065716,  00003B1E  // zp=0
  77,  0.000614370685,  00002843  // zp=0
  78,  0.000825070078,  00003612  // zp=0
  79,  0.000679926830,  00002C8F  // zp=0
  80,  0.000607183960,  000027CB  // zp=0
  81,  0.000633753429,  00002989  // zp=0
  82,  0.000742932258,  000030B0  // zp=0
  83,  0.000901490159,  00003B14  // zp=0
  84,  0.000963119033,  00003F1E  // zp=0
  85,  0.000495279615,  00002075  // zp=0
  86,  0.000926701236,  00003CBB  // zp=0
  87,  0.000747052429,  000030F5  // zp=0
  88,  0.000952844101,  00003E72  // zp=0
  89,  0.000856988423,  0000382A  // zp=0
  90,  0.000892425014,  00003A7C  // zp=0
  91,  0.001015765476,  00004292  // zp=0
  92,  0.000710715540,  00002E94  // zp=0
  93,  0.000802818686,  0000349D  // zp=0
  94,  0.000729432038,  00002FCE  // zp=0
  95,  0.000554210099,  00002452  // zp=0
  96,  0.000825760770,  0000361E  // zp=0
  97,  0.000695034396,  00002D8D  // zp=0
  98,  0.000821274938,  000035D3  // zp=0
  99,  0.000766709622,  0000323F  // zp=0
 100,  0.000733726192,  00003016  // zp=0
 101,  0.000661414349,  00002B59  // zp=0
 102,  0.000571087527,  0000256D  // zp=0
 103,  0.000703148777,  00002E15  // zp=0
 104,  0.000847301795,  00003787  // zp=0
 105,  0.001189312316,  00004DF1  // zp=0
 106,  0.000735928770,  0000303B  // zp=0
 107,  0.000837569649,  000036E4  // zp=0
 108,  0.000672678405,  00002C16  // zp=0
 109,  0.000650572416,  00002AA3  // zp=0
 110,  0.000856507977,  00003822  // zp=0
 111,  0.000803809380,  000034AE  // zp=0
 112,  0.000456340349,  00001DE8  // zp=0
 113,  0.001018199837,  000042BB  // zp=0
 114,  0.000523021852,  00002247  // zp=0
 115,  0.000868105155,  000038E4  // zp=0
 116,  0.000789625919,  000033C0  // zp=0
 117,  0.000728691055,  00002FC1  // zp=0
 118,  0.000735679641,  00003037  // zp=0
 119,  0.000720086799,  00002F31  // zp=0
 120,  0.000677310105,  00002C63  // zp=0
 121,  0.000793436484,  00003400  // zp=0
 122,  0.000837376865,  000036E1  // zp=0
 123,  0.000788302452,  000033AA  // zp=0
 124,  0.000644847110,  00002A43  // zp=0
 125,  0.000884458772,  000039F7  // zp=0
 126,  0.000471111271,  00001EE0  // zp=0
 127,  0.000585925067,  00002666  // zp=0
