// Bias: tfl.pseudo_qconst3
// Shape: [32], int32

// idx,  decimal,       hex_32bit
    0,         -3054,  FFFFF412
    1,        -42786,  FFFF58DE
    2,         22520,  000057F8
    3,         -1478,  FFFFFA3A
    4,           985,  000003D9
    5,          -887,  FFFFFC89
    6,          -288,  FFFFFEE0
    7,         15943,  00003E47
    8,        -30477,  FFFF88F3
    9,         -4182,  FFFFEFAA
   10,          2049,  00000801
   11,          1819,  0000071B
   12,        -32728,  FFFF8028
   13,         -5434,  FFFFEAC6
   14,         15585,  00003CE1
   15,           130,  00000082
   16,          2149,  00000865
   17,          3427,  00000D63
   18,        -17741,  FFFFBAB3
   19,            77,  0000004D
   20,          1582,  0000062E
   21,         -1662,  FFFFF982
   22,         25294,  000062CE
   23,         20335,  00004F6F
   24,            95,  0000005F
   25,          6960,  00001B30
   26,         -1330,  FFFFFACE
   27,            59,  0000003B
   28,           196,  000000C4
   29,           169,  000000A9
   30,          4256,  000010A0
   31,          5587,  000015D3
