// Bias: tfl.pseudo_qconst6
// Shape: [32], int32

// idx,  decimal,       hex_32bit
    0,           687,  000002AF
    1,          -566,  FFFFFDCA
    2,           232,  000000E8
    3,          1014,  000003F6
    4,           212,  000000D4
    5,           405,  00000195
    6,          -512,  FFFFFE00
    7,           651,  0000028B
    8,           235,  000000EB
    9,           188,  000000BC
   10,          -565,  FFFFFDCB
   11,           395,  0000018B
   12,           587,  0000024B
   13,          -489,  FFFFFE17
   14,           460,  000001CC
   15,          -226,  FFFFFF1E
   16,           150,  00000096
   17,          -396,  FFFFFE74
   18,          -488,  FFFFFE18
   19,           351,  0000015F
   20,         -1021,  FFFFFC03
   21,            95,  0000005F
   22,          -815,  FFFFFCD1
   23,           306,  00000132
   24,           941,  000003AD
   25,           737,  000002E1
   26,           274,  00000112
   27,          -293,  FFFFFEDB
   28,          -222,  FFFFFF22
   29,           405,  00000195
   30,          1047,  00000417
   31,           -87,  FFFFFFA9
