// Scales: drowsiness_asic/quant_conv2/Conv2D;drowsiness_asic/quant_conv2/LastValueQuant/FakeQuantWithMinMaxVarsPerChannel
// real_value = scale[ch] * int8_value  (zero_point=0 untuk weight)

// ch,  scale_f32,             scale_Q8.24
   0,  0.000922457257,  00003C74  // zp=0
   1,  0.001135019935,  00004A62  // zp=0
   2,  0.001356215216,  000058E2  // zp=0
   3,  0.001506112749,  000062B4  // zp=0
   4,  0.000983852893,  0000407A  // zp=0
   5,  0.001039314666,  0000441D  // zp=0
   6,  0.001762559637,  00007383  // zp=0
   7,  0.000679871067,  00002C8E  // zp=0
   8,  0.000802517403,  00003498  // zp=0
   9,  0.000921117258,  00003C5E  // zp=0
  10,  0.001236481476,  00005109  // zp=0
  11,  0.001320753130,  0000568F  // zp=0
  12,  0.001384579344,  00005ABD  // zp=0
  13,  0.001042715507,  00004456  // zp=0
  14,  0.000951502181,  00003E5C  // zp=0
  15,  0.001024288940,  00004321  // zp=0
  16,  0.000817143184,  0000358D  // zp=0
  17,  0.001022655750,  00004305  // zp=0
  18,  0.000593724544,  000026E9  // zp=0
  19,  0.000823918555,  000035FF  // zp=0
  20,  0.000992651563,  0000410E  // zp=0
  21,  0.002020896412,  00008471  // zp=0
  22,  0.001591607695,  0000684F  // zp=0
  23,  0.001192394062,  00004E25  // zp=0
  24,  0.001110241283,  000048C3  // zp=0
  25,  0.001738843392,  000071F5  // zp=0
  26,  0.000508207246,  0000214E  // zp=0
  27,  0.002196485177,  00008FF3  // zp=0
  28,  0.000987341278,  000040B5  // zp=0
  29,  0.001054028515,  00004514  // zp=0
  30,  0.001188926748,  00004DEB  // zp=0
  31,  0.001147265546,  00004B30  // zp=0
  32,  0.000740007032,  0000307F  // zp=0
  33,  0.001075850218,  00004682  // zp=0
  34,  0.001105219242,  0000486F  // zp=0
  35,  0.000980017241,  0000403A  // zp=0
  36,  0.001223013620,  00005027  // zp=0
  37,  0.000807135075,  000034E5  // zp=0
  38,  0.000855650404,  00003813  // zp=0
  39,  0.001353503671,  000058B4  // zp=0
  40,  0.000665962987,  00002BA5  // zp=0
  41,  0.000974949857,  00003FE5  // zp=0
  42,  0.001212308300,  00004F73  // zp=0
  43,  0.000459676638,  00001E20  // zp=0
  44,  0.001066545141,  000045E6  // zp=0
  45,  0.001090739970,  0000477C  // zp=0
  46,  0.000518601621,  000021FD  // zp=0
  47,  0.001289604115,  00005484  // zp=0
  48,  0.001421023975,  00005D21  // zp=0
  49,  0.000379909674,  000018E6  // zp=0
  50,  0.001171489945,  00004CC6  // zp=0
  51,  0.001200972125,  00004EB5  // zp=0
  52,  0.000523418770,  0000224E  // zp=0
  53,  0.000538752065,  0000234F  // zp=0
  54,  0.000855363964,  0000380F  // zp=0
  55,  0.001424176851,  00005D56  // zp=0
  56,  0.000547288102,  000023DE  // zp=0
  57,  0.001717095496,  00007088  // zp=0
  58,  0.000830447651,  0000366D  // zp=0
  59,  0.001506183180,  000062B6  // zp=0
  60,  0.001561266254,  00006652  // zp=0
  61,  0.001434142701,  00005DFD  // zp=0
  62,  0.000742638018,  000030AB  // zp=0
  63,  0.001293593785,  000054C7  // zp=0
